TIME_PERIOD,REF_AREA,value
2015,CPV,3470.694
1999,BGR,47685.646
2000,BGR,52475.199
2001,BGR,55752.177
1994,HKG,145557.772
1995,HKG,152137.22
1996,HKG,161519.826
1997,HKG,172684.27
1998,HKG,164352.412
1999,HKG,170856.272
2000,HKG,188116.505
2001,HKG,193431.174
2002,HKG,199691.47
2003,HKG,209857.661
2013,BRA,3120542.014
1996,BRA,1362985.285
1997,BRA,1433558.431
2019,BRA,3333775.621
2014,BRA,3166808.964
2016,BRA,2907889.887
2018,BRA,3187189.641
2000,BRA,1582133.928
2005,BRA,2046574.558
2012,ARG,819219.854
2008,ARG,698398.186
2010,ARG,736904.551
2018,ARG,1090043.17
2022,ARG,1343969.241
2015,ARG,865155.58
2017,ARG,1035699.068
2011,ARG,797263.882
2013,ARG,848625.298
2020,USA,21354105.0
2012,USA,16253970.0
2013,USA,16880683.0
2017,USA,19612102.0
2023,USA,27720709.0
2003,USA,11456450.0
2004,USA,12217196.0
2014,USA,17608138.0
2021,USA,23681171.0
2016,USA,18804913.0
2015,USA,18295019.0
2022,TUR,3322806.227
2004,HRV,63226.456
1995,HRV,37174.803
1996,HRV,40113.171
1997,HRV,43233.922
1998,HRV,44817.939
2017,MAR,291813.531
2018,MAR,283691.175
2020,MAR,286108.586
2021,MAR,323019.849
2014,MAR,250969.666
2016,MAR,278969.226
2015,MAR,273699.866
2019,MAR,295693.594
2000,MLT,7161.156
2001,MLT,7277.366
2002,MLT,7760.94
2003,MLT,8342.555
2004,MLT,8645.731
2005,MLT,9008.205
2010,CHN,12589326.65
2012,CHN,15465192.01
2011,CHN,14064750.8
2021,CHN,29438240.133
2019,CHN,24777565.959
2002,BGR,61023.382
2003,BGR,65448.415
2004,BGR,71008.591
2005,BGR,78822.09
2006,BGR,86712.621
2007,BGR,96748.729
2008,BGR,107494.808
2009,BGR,105567.348
2010,BGR,110608.303
2018,BGR,161419.011
2019,BGR,177427.393
2022,BGR,231558.863
2012,BGR,119285.135
2013,BGR,120959.842
2011,BGR,115716.936
2020,BGR,179336.066
2023,BGR,241797.536
2021,BGR,201554.75
1995,BGR,65043.834
2015,BGR,132010.448
2016,BGR,143025.052
2014,BGR,127259.264
2017,BGR,151835.545
1996,BGR,57255.645
1997,BGR,47788.953
1995,BRA,1309554.572
1998,BRA,1454571.005
2004,BRA,1922785.838
2009,BRA,2572081.758
2007,BRA,2389430.238
2012,BRA,2992140.132
1998,MLT,6249.493
2023,IDN,4334743.944
2009,IDN,2051997.549
2012,IDN,2408290.405
2008,IDN,1989049.446
2010,IDN,2057500.879
2014,IDN,2605517.437
2017,IDN,2857305.083
2022,IDN,3983074.391
2020,IDN,3223404.543
2011,IDN,2229511.719
2021,IDN,3530623.141
2013,IDN,2524244.787
2015,IDN,2625201.735
2019,IDN,3266185.831
2016,IDN,2715764.061
2018,IDN,3069918.632
2016,SEN,46623.906
2015,SEN,43696.524
2019,SEN,59654.664
2004,SEN,24682.723
2005,SEN,26550.142
2020,ARG,1011999.397
2005,ARG,528046.724
2006,ARG,588133.949
2023,ARG,1369900.07
2019,ARG,1057633.16
2014,ARG,838428.063
2016,ARG,882649.217
2021,ARG,1191725.418
2004,ARG,470358.839
2009,ARG,661115.954
1999,HRV,44867.018
2005,HRV,66595.513
2006,HRV,76026.521
2007,HRV,84354.328
2008,HRV,90589.1
2009,HRV,87608.276
2010,HRV,86526.278
2015,HRV,98640.988
2016,HRV,105976.764
2014,HRV,95410.708
1999,ROU,125763.717
2000,ROU,131265.132
2001,ROU,144314.313
2002,ROU,155640.558
2003,ROU,163109.507
2004,ROU,192862.887
2005,ROU,204715.108
2006,ROU,244926.549
2007,ROU,286163.59
2009,ROU,338753.849
2010,ROU,351419.137
2008,ROU,344668.904
2018,ROU,576166.26
2022,ROU,843884.142
2012,ROU,397298.019
2013,ROU,393241.772
2011,ROU,378851.536
2020,ROU,662455.532
2019,ROU,651636.865
2021,ROU,760243.426
1995,ROU,123071.41
2015,ROU,428620.74
2016,ROU,470987.707
2022,CHN,32525464.028
2018,CHN,22862470.132
2013,CHN,16670208.036
2020,CHN,25777238.692
2023,CHN,35520435.397
1990,CHN,1124714.27
2014,CHN,17754058.548
2015,CHN,18577514.882
2016,CHN,19647292.059
2017,CHN,20974552.139
1991,CHN,1271603.175
1992,CHN,1486559.204
2004,CMR,42068.507
2009,CMR,55028.203
2007,CMR,50859.594
2012,CMR,63669.714
2002,CMR,35587.738
1999,CMR,29611.877
2008,CMR,53315.733
2010,CMR,57311.622
1993,CMR,21096.458
1994,CMR,21203.111
2003,CMR,38269.321
2017,CMR,90902.833
2011,CMR,60470.66
2013,CMR,69319.477
1996,CMR,24007.623
1997,CMR,25527.265
2020,CMR,114370.912
2000,CMR,31443.201
2005,CMR,44354.338
2006,CMR,47463.977
1995,CMR,22622.449
2016,CMR,85068.226
2021,CMR,129022.18
2018,CMR,99492.538
2022,CMR,143385.931
2015,CMR,79618.698
2019,CMR,108174.199
2014,CMR,75494.718
2001,CMR,33541.507
1998,CMR,27034.014
2020,CPV,3526.877
2011,CPV,3265.194
2021,CPV,3970.664
2013,CPV,3261.48
2009,CPV,2986.566
2007,CPV,2762.175
2012,CPV,3234.563
2008,CPV,3013.57
2019,CPV,4444.818
2016,ZAF,774110.276
2015,ZAF,759954.876
1992,SGP,87299.407
1993,SGP,99610.026
1994,SGP,113025.308
1995,SGP,123675.158
1996,SGP,135348.781
2004,SGP,226599.047
2005,SGP,250919.345
2006,SGP,281953.945
1997,SGP,149132.789
1998,SGP,147504.597
1999,SGP,158146.155
2000,SGP,176346.005
2001,SGP,178385.825
2007,SGP,315718.477
2008,SGP,327798.173
2009,SGP,330241.984
2010,SGP,382788.415
2015,SGP,482409.671
2019,SGP,601968.438
2022,SGP,789921.644
2018,SGP,585856.626
2012,SGP,436192.127
2013,SGP,448607.292
2020,SGP,577746.734
2011,SGP,414966.621
2023,SGP,844121.768
2002,SGP,188265.41
2014,SGP,462493.851
2016,SGP,503170.471
2017,SGP,536689.882
2021,SGP,719129.53
2003,SGP,200714.21
1990,SGP,72567.935
2004,HKG,234249.599
2005,HKG,259443.809
2006,HKG,286253.01
2007,HKG,313015.583
2008,HKG,325835.542
2009,HKG,319783.056
2010,HKG,345574.196
2022,HKG,503960.4
2015,HKG,408626.637
2017,HKG,438127.783
2020,HKG,435300.511
2011,HKG,369685.332
2021,HKG,488411.631
2013,HKG,384196.203
2023,HKG,538515.828
2012,HKG,372875.436
1990,HKG,104117.287
2019,HKG,459644.296
2016,HKG,416436.292
2018,HKG,453865.392
2014,HKG,394115.663
1991,HKG,113775.873
1992,HKG,123624.191
2019,GEO,62387.953
2013,GEO,40140.559
2022,GEO,83387.81
2023,GEO,93154.47
2018,GEO,55980.311
2020,GEO,62508.512
2010,GEO,29201.802
2014,GEO,43780.653
2015,GEO,45708.058
2016,GEO,48701.345
2017,GEO,51143.967
2012,GEO,37512.21
2011,GEO,32170.006
2023,CMR,153370.693
2017,CPV,4070.197
1998,BGR,51007.506
2006,BRA,2193273.159
2007,ARG,658480.356
2007,USA,14474228.0
2005,GBR,1976697.868
2002,TUR,612446.634
2005,CHE,308825.1
2010,SWE,393467.962
2012,ESP,1490647.144
1995,SVK,47217.874
1994,NOR,99794.624
1997,NZL,72325.376
2004,MEX,1321401.671
1995,LUX,15658.42
1999,LTU,27688.895
2010,LVA,36378.839
1995,JPN,2993644.743
1995,GRC,160626.636
2010,DEU,3249039.359
1998,FRA,1400106.85
2001,FIN,144231.916
2012,EST,34710.912
2023,DNK,435884.497
2012,CZE,309706.673
2011,CRI,64567.752
2007,CHL,278373.991
1997,CAN,755416.033
2014,ROU,410781.677
2017,ROU,527787.361
1996,ROU,129912.925
1997,ROU,125468.807
1995,ZAF,306231.876
2004,ZAF,475885.933
2005,ZAF,516707.0
2006,ZAF,562489.594
1996,ZAF,325246.8
1997,ZAF,339458.154
1998,ZAF,344989.516
1999,ZAF,358268.417
2000,ZAF,381771.932
2001,ZAF,400908.092
2007,ZAF,608697.898
2008,ZAF,640223.797
2009,ZAF,634264.626
2010,ZAF,661487.022
2017,ZAF,791817.188
2022,ZAF,922199.652
2019,ZAF,796182.639
2012,ZAF,698463.322
2013,ZAF,731024.582
2018,ZAF,782329.029
2020,ZAF,767391.153
2011,ZAF,696526.062
2023,ZAF,962332.155
2006,MLT,9452.095
2007,MLT,10194.508
2008,MLT,10858.175
2009,MLT,10991.977
2010,MLT,11903.794
2014,MLT,14924.45
2017,MLT,20354.982
2018,MLT,22118.106
2022,MLT,28988.487
2012,MLT,12703.265
2013,MLT,13757.003
2011,MLT,12060.604
2020,MLT,23640.908
2019,MLT,25173.819
2021,MLT,25351.451
1995,MLT,5276.887
1996,MLT,5567.972
2015,MLT,16674.006
2016,MLT,18080.354
1997,MLT,5928.815
1990,ISL,5598.64
1991,ISL,5775.035
1997,KOR,749186.392
1998,KOR,718757.182
1999,KOR,812466.993
1992,KOR,462044.254
1993,KOR,505526.464
1990,KOR,371433.303
1991,KOR,425381.415
1994,KOR,564177.723
1995,KOR,631388.633
1992,JPN,2715675.011
1993,JPN,2767279.211
1990,JPN,2458757.721
1991,JPN,2631467.512
1990,ISR,73147.187
1991,ISR,81463.406
1992,ISR,89784.895
1993,ISR,95696.94
1992,IRL,53752.71
1993,IRL,56508.488
1990,IRL,48260.035
1991,IRL,50854.811
1992,ISL,5707.359
1993,ISL,5919.383
1992,HUN,85844.921
1993,HUN,87373.451
1991,HUN,86585.306
1994,GRC,154092.13
1999,SEN,18532.686
2000,SEN,19679.597
2001,SEN,20975.744
2007,SEN,29441.963
2008,SEN,31094.983
2009,SEN,32147.816
2010,SEN,33641.849
2017,SEN,50051.752
2022,SEN,79491.803
2012,SEN,36793.686
2013,SEN,37962.163
2018,SEN,53794.44
2020,SEN,63008.587
2021,SEN,71874.344
2011,SEN,34793.989
2002,SEN,21306.443
2003,SEN,22950.278
2014,SEN,40387.333
2019,ZMB,62232.372
2002,ZAF,422203.705
1991,SGP,80039.819
2006,SEN,27953.234
1998,ROU,124787.305
2022,MAR,351734.625
1999,MLT,6564.672
1993,HKG,134402.292
2021,GEO,70150.943
2021,HRV,143261.155
1996,TUR,656954.889
1997,TUR,717354.452
1990,POL,236722.737
1991,POL,227559.031
1992,POL,238598.393
1991,SWE,178275.104
1992,SWE,180225.283
1994,ESP,615863.915
1992,ESP,581310.969
1993,ESP,588951.699
1990,ESP,531181.405
1991,ESP,563125.919
1990,NLD,286922.928
1991,NLD,303860.797
1992,NLD,316087.756
1993,NLD,327649.503
1992,SVK,38614.657
1993,SVK,40281.55
1994,SVK,43694.794
1990,PRT,117521.666
1991,PRT,126803.164
1992,PRT,131105.869
1993,PRT,131471.169
1994,POL,272493.343
1992,ITA,1146288.853
1993,ITA,1163452.448
2007,BEL,391020.992
1996,AUT,194340.571
2007,AUS,826927.984
2012,ZMB,49567.431
2013,ZMB,53546.575
2018,ZMB,61869.933
2020,ZMB,60086.231
2021,ZMB,68831.341
2011,ZMB,46612.239
2006,ZMB,28843.961
2007,ZMB,32099.904
2008,ZMB,35261.85
2014,ZMB,54700.622
2016,ZMB,56043.444
2015,ZMB,54731.539
2017,ZMB,59022.163
2009,ZMB,38750.635
2010,ZMB,43260.718
2003,ZAF,443236.206
1993,ZAF,276009.867
1993,AUT,171017.124
1990,AUT,148819.552
1991,AUT,159147.297
1992,AUT,166181.839
1994,CHL,94163.689
1995,CHL,106355.368
1993,CHL,87216.512
1990,CHL,62125.381
1991,CHL,69345.088
1992,CHL,79633.637
1994,BEL,217526.018
1993,BEL,206320.141
1994,AUT,178864.825
2003,COL,301077.682
2004,COL,325646.983
1994,EST,8717.114
1993,EST,8677.377
1990,BEL,186143.982
1991,BEL,195966.475
1992,BEL,203500.306
1994,CZE,132474.776
1993,CZE,126038.184
1992,CZE,123043.657
1990,CZE,132329.243
1991,CZE,120914.563
2022,CRI,131743.438
2023,CRI,143338.34
1998,COL,260294.469
1999,COL,250260.312
1993,COL,203125.828
1994,COL,219097.574
1995,COL,235604.405
1996,COL,243728.279
1993,LUX,14259.302
1990,LUX,11428.403
1991,LUX,12836.186
1994,IDN,968057.287
1996,IDN,1174333.411
1997,IDN,1250727.391
1998,IDN,1098759.763
2011,MAR,241675.201
2012,MAR,245600.839
2013,MAR,257986.281
2008,MAR,202446.832
2007,MAR,188051.04
2009,MAR,213618.529
2010,MAR,225196.523
2022,ESP,2411672.27
2023,DEU,5763468.752
2023,COL,1095839.761
2023,FRA,3988146.587
2023,BEL,814029.958
2023,ESP,2573555.002
1993,GRC,147912.164
1992,GRC,146836.711
1990,GRC,133756.989
1991,GRC,142567.025
1990,DEU,1550613.218
1992,COL,187674.793
1990,COL,165518.19
1991,COL,175888.407
2000,COL,262505.613
2001,COL,272923.486
2002,COL,284117.115
1990,SWE,174442.545
1993,SVN,23716.612
1994,SVN,25513.543
1990,SVN,24737.482
1991,SVN,23297.928
1990,TUR,456729.302
1991,TUR,476549.784
1992,TUR,516577.24
1993,TUR,571350.083
1994,TUR,551713.755
1995,TUR,603789.821
2023,HRV,176040.142
2014,ZAF,742688.252
2009,BEL,409035.072
1990,ITA,1058827.826
1991,ITA,1111475.238
1990,MEX,656162.565
1991,MEX,706994.139
1992,MEX,749344.964
1994,LUX,15120.27
1992,LUX,13367.608
1992,SVN,22526.93
1994,PRT,135574.207
1993,POL,253384.957
1994,NLD,344555.367
1996,KOR,693682.375
1994,ITA,1213857.641
1994,ISR,105000.487
1994,IRL,61037.17
1994,ISL,6263.971
1994,HUN,91869.265
1997,COL,255851.335
1990,ZAF,260367.638
1991,ZAF,266425.945
1992,ZAF,266333.533
2019,MDG,45921.721
1999,IDN,1123123.992
2021,MDG,48038.053
2011,MDG,34048.44
2012,MDG,34743.753
2013,MDG,35933.51
2020,MDG,43683.792
2009,MDG,32219.93
2010,MDG,32817.362
2007,MDG,30584.061
2014,MDG,37532.897
2015,MDG,38434.339
2016,MDG,41198.355
2017,MDG,41886.353
2008,MDG,33373.18
2018,MDG,42882.837
1995,IDN,1069597.521
2000,IDN,1096816.221
2001,IDN,1162375.076
2002,IDN,1233551.854
2003,IDN,1318038.602
2004,IDN,1421573.779
2005,IDN,1549608.019
2006,IDN,1685267.351
2007,IDN,1840753.213
1993,IDN,881365.04
2022,MEX,3006940.352
2023,MEX,3224627.48
2023,KOR,2898616.079
2021,DEU,5202315.688
2022,GRC,406715.332
2023,GRC,428522.913
2022,DEU,5663889.007
